Date and Name,Date,Name,Position,Picture,RPE,Sleep Quality,Sleep Duration,Fatigue,Soreness,Stress,Readiness Score,Session,GPS Load,Total Distance,Low Intensity Distance,Moderate Intensity Distance,High Intensity Distance,Sprint Distance,Total Acceleration,Med. Intensity Accel Count,High Int. Accel Count,Max Int. Accel Count,Total Deceleration,Med. Intensity Decel Count,High Intensity Decel Counts,Max Intensity Decel Counts,Top Sprint Speed
45135Wayne Gretzky,45135,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6.5,8,8,4,4,4,73.5,Tempo,148,908,145.28,227,317.8,217.92,9,1.44,2.7,4.86,12,7,4,0,15.47
45134Roger Federer,45134,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,7,7,6.5,5.5,7,80.5,Max Velocity,39,1267,380.1,316.75,316.75,253.4,90,36,25.2,28.8,85,47,27,12,19.09
45120Serena Williams,45120,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,6,6,4,8.5,6,84.5,Max Velocity,68,1264,379.2,316,316,252.8,100,40,28,32,87,48,27,12,15.2
45148Pele,45148,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6.5,7,7,4,8,6,81.5,Max Velocity,21,1263,378.9,315.75,315.75,252.6,67,26.8,18.76,21.44,82,45,26,11,19.13
45141Roger Federer,45141,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,8,8,7,7,7,80,Max Velocity,73,1257,377.1,314.25,314.25,251.4,70,28,19.6,22.4,83,46,26,11,16.41
45134Serena Williams,45134,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,8,9,4.5,6.5,6,77.5,Max Velocity,84,1254,376.2,313.5,313.5,250.8,60,24,16.8,19.2,80,44,25,11,16.76
45113Tom Brady,45113,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,8,8,6,5.5,5,76.5,Change of Direction,62,1038,280.26,373.68,311.4,72.66,63,13.23,23.31,26.46,78,33,23,21,16.27
45120Tom Brady,45120,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6,8,8,7.5,4.5,5,74.5,Max Velocity,94,1227,368.1,306.75,306.75,245.4,87,34.8,24.36,27.84,73,40,23,10,22.05
45118Roger Federer,45118,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,6,6,4.5,7.5,7,84.5,Change of Direction,30,1015,274.05,365.4,304.5,71.05,93,19.53,34.41,39.06,84,36,25,23,18.36
45120Michael Jordan,45120,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,5.5,5,8,7.5,6,6,79.5,Max Velocity,34,1214,364.2,303.5,303.5,242.8,72,28.8,20.16,23.04,87,48,27,12,22.43
45132Pele,45132,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,8,8,4,7.5,8,81.5,Change of Direction,98,1003,270.81,361.08,300.9,70.21,132,27.72,48.84,55.44,65,28,20,18,16.64
45148Wayne Gretzky,45148,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,6,6,3.5,7.5,6,82.5,Max Velocity,130,1198,359.4,299.5,299.5,239.6,64,25.6,17.92,20.48,75,41,23,10,17.11
45145Michael Jordan,45145,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,5,5.5,6.5,6.5,4.5,6,78.5,Acceleration,44,1346,336.5,565.32,296.12,148.06,21,10.5,4.62,5.88,35,18,11,6,21.71
45127Serena Williams,45127,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6.5,5,4.5,7,4.5,5,81.5,Max Velocity,44,1184,355.2,296,296,236.8,75,30,21,24,80,44,25,11,21.55
45146Serena Williams,45146,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6.5,6,6,4.5,5.5,8,83,Change of Direction,37,984,265.68,354.24,295.2,68.88,96,20.16,35.52,40.32,67,28,20,18,15.68
45117Michael Jordan,45117,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7.5,6,6,8,5.5,7,83,Acceleration,27,1328,332,557.76,292.16,146.08,23,11.5,5.06,6.44,36,19,11,6,11.24
45131Serena Williams,45131,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6,6,6,7.5,4,5,78,Acceleration,13,1321,330.25,554.82,290.62,145.31,26,13,5.72,7.28,32,17,10,6,22.81
45146Roger Federer,45146,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,6.5,6,6,7,8.5,5,83,Change of Direction,41,968,261.36,348.48,290.4,67.76,133,27.93,49.21,55.86,63,27,19,17,15.25
45124Jackie Robinson,45124,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,8,8,7,8,4,76,Acceleration,34,1318,329.5,553.56,289.96,144.98,45,22.5,9.9,12.6,44,23,13,8,21.49
45117Jackie Robinson,45117,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,8,8,5.5,6,7,77,Acceleration,23,1317,329.25,553.14,289.74,144.87,54,27,11.88,15.12,49,25,15,9,22.62
45145Tom Brady,45145,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,7,7.5,7,5.5,5,76,Acceleration,42,1312,328,551.04,288.64,144.32,46,23,10.12,12.88,50,26,15,9,19.89
45118Jackie Robinson,45118,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,6,6,6,8,5,81,Change of Direction,23,961,259.47,345.96,288.3,67.27,121,25.41,44.77,50.82,85,36,26,23,15.67
45131Michael Jordan,45131,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,5,6,6,7.5,5,5,78,Acceleration,26,1307,326.75,548.94,287.54,143.77,37,18.5,8.14,10.36,30,16,9,5,21.41
45112Kobe Bryant,45112,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,8,5,5.5,5.5,8,5,85.5,Acceleration,21,1296,324,544.32,285.12,142.56,34,17,7.48,9.52,34,18,10,6,22.12
45120Kobe Bryant,45120,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,8,8,5.5,8.5,4,77.5,Max Velocity,109,1138,341.4,284.5,284.5,227.6,61,24.4,17.08,19.52,77,42,24,11,18.15
45138Jackie Robinson,45138,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,7,7,7,4,7,5,80,Acceleration,47,1291,322.75,542.22,284.02,142.01,37,18.5,8.14,10.36,32,17,10,6,15.73
45132Wayne Gretzky,45132,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,7,7,6.5,4,6,77,Change of Direction,65,937,252.99,337.32,281.1,65.59,96,20.16,35.52,40.32,72,31,22,20,17.14
45117Serena Williams,45117,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6,7,7,4,8.5,4,79.5,Acceleration,35,1270,317.5,533.4,279.4,139.7,32,16,7.04,8.96,37,19,11,7,16.44
45113Pele,45113,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,7,7.5,4,4,7,77.5,Change of Direction,83,929,250.83,334.44,278.7,65.03,84,17.64,31.08,35.28,66,28,20,18,15.37
45132Jackie Robinson,45132,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,7,7,4,8,4,78,Change of Direction,101,928,250.56,334.08,278.4,64.96,92,19.32,34.04,38.64,88,37,26,24,14.06
45113Wayne Gretzky,45113,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,8,8,4.5,8,4,77,Change of Direction,61,927,250.29,333.72,278.1,64.89,109,22.89,40.33,45.78,76,32,23,21,14.59
45139Pele,45139,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,8,7,5.5,7,6,79,Change of Direction,57,927,250.29,333.72,278.1,64.89,103,21.63,38.11,43.26,71,30,21,20,14.28
45131Tom Brady,45131,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7,7,7,8,5,7,80,Acceleration,31,1258,314.5,528.36,276.76,138.38,43,21.5,9.46,12.04,41,21,12,7,16.04
45124Kobe Bryant,45124,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,6.5,7,8,7,8,82.5,Acceleration,36,1257,314.25,527.94,276.54,138.27,58,29,12.76,16.24,38,20,11,7,21.51
45118Kobe Bryant,45118,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,7.5,8,6.5,4,5,73.5,Change of Direction,17,920,248.4,331.2,276,64.4,125,26.25,46.25,52.5,72,31,22,20,18.41
45125Roger Federer,45125,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,8,8,7,8,5.5,5,78.5,Change of Direction,99,919,248.13,330.84,275.7,64.33,105,22.05,38.85,44.1,71,30,21,20,18.79
45112Jackie Robinson,45112,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,7,6,6,4,5,6,81,Acceleration,33,1251,312.75,525.42,275.22,137.61,26,13,5.72,7.28,32,17,10,6,12.13
45125Serena Williams,45125,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6.5,6,6,7,8.5,7,85,Change of Direction,32,917,247.59,330.12,275.1,64.19,96,20.16,35.52,40.32,83,35,25,23,16.32
45112Michael Jordan,45112,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,5,6,8,4.5,6,6,78,Acceleration,27,1245,311.25,522.9,273.9,136.95,54,27,11.88,15.12,36,19,11,6,10.25
45141Serena Williams,45141,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,8,8,4.5,6.5,6,78.5,Max Velocity,33,1092,327.6,273,273,218.4,78,31.2,21.84,24.96,83,46,26,11,23.78
45117Tom Brady,45117,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6,6,6,7,8.5,7,84.5,Acceleration,41,1235,308.75,518.7,271.7,135.85,58,29,12.76,16.24,42,22,13,8,22.22
45139Michael Jordan,45139,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7,7.5,7,8,4.5,4,76,Change of Direction,32,901,243.27,324.36,270.3,63.07,106,22.26,39.22,44.52,82,35,25,23,15.7
45120Roger Federer,45120,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,6,8,8,5,6,4,75,Max Velocity,104,1079,323.7,269.75,269.75,215.8,60,24,16.8,19.2,86,47,27,12,22.88
45124Pele,45124,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,5,7,7.5,5,6,8,79.5,Acceleration,16,1219,304.75,511.98,268.18,134.09,34,17,7.48,9.52,42,22,13,8,15.58
45127Jackie Robinson,45127,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,7,7,6.5,7.5,6,79.5,Max Velocity,59,1071,321.3,267.75,267.75,214.2,92,36.8,25.76,29.44,82,45,26,11,22.02
45141Jackie Robinson,45141,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,6,6,7.5,4.5,5,77.5,Max Velocity,131,1071,321.3,267.75,267.75,214.2,79,31.6,22.12,25.28,83,46,26,11,16.47
45124Serena Williams,45124,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,7,6,6,4,7.5,8,85.5,Acceleration,15,1217,304.25,511.14,267.74,133.87,44,22,9.68,12.32,36,19,11,6,14.13
45138Wayne Gretzky,45138,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,5,6,6,4,5,7,80,Acceleration,47,1217,304.25,511.14,267.74,133.87,47,23.5,10.34,13.16,43,22,13,8,18.58
45131Pele,45131,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,8,8,8,4,4,74,Acceleration,30,1214,303.5,509.88,267.08,133.54,50,25,11,14,49,25,15,9,21.91
45131Jackie Robinson,45131,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,7.5,6,6,8,4.5,8,83,Acceleration,28,1213,303.25,509.46,266.86,133.43,48,24,10.56,13.44,39,20,12,7,18.93
45138Michael Jordan,45138,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,5,8,8,4,4.5,4,72.5,Acceleration,18,1206,301.5,506.52,265.32,132.66,39,19.5,8.58,10.92,43,22,13,8,12.38
45148Serena Williams,45148,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6,6,6,5,8.5,6,83.5,Max Velocity,46,1059,317.7,264.75,264.75,211.8,97,38.8,27.16,31.04,73,40,23,10,18.62
45124Tom Brady,45124,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,6,6,5,6.5,7,81.5,Acceleration,32,1194,298.5,501.48,262.68,131.34,20,10,4.4,5.6,45,23,14,8,12.9
45141Kobe Bryant,45141,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,7,7,8,5,6,78,Max Velocity,28,1035,310.5,258.75,258.75,207,75,30,21,24,83,46,26,11,18.19
45138Tom Brady,45138,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,8,8,8,5,5,74,Acceleration,40,1176,294,493.92,258.72,129.36,39,19.5,8.58,10.92,34,18,10,6,17.56
45148Jackie Robinson,45148,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,8,8,7.5,8,5,78.5,Max Velocity,84,1032,309.6,258,258,206.4,75,30,21,24,88,48,27,12,18.52
45112Pele,45112,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,5,8,8,6,4,4,72,Acceleration,29,1171,292.75,491.82,257.62,128.81,24,12,5.28,6.72,34,18,10,6,10.8
45117Roger Federer,45117,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,5,6,6,5.5,4,5,77,Acceleration,38,1171,292.75,491.82,257.62,128.81,34,17,7.48,9.52,34,18,10,6,22.36
45141Michael Jordan,45141,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7,7,7,7.5,7,4,79,Max Velocity,28,1019,305.7,254.75,254.75,203.8,91,36.4,25.48,29.12,81,45,25,11,21.61
45131Kobe Bryant,45131,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,7,7,7.5,5,6,77,Acceleration,26,1155,288.75,485.1,254.1,127.05,32,16,7.04,8.96,36,19,11,6,22.28
45134Jackie Robinson,45134,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5,6,6,4.5,4.5,7,79.5,Max Velocity,111,1004,301.2,251,251,200.8,98,39.2,27.44,31.36,77,42,24,11,14.87
45148Tom Brady,45148,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,5,4.5,4.5,7,4,81.5,Max Velocity,61,1004,301.2,251,251,200.8,83,33.2,23.24,26.56,77,42,24,11,23.82
45112Serena Williams,45112,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,5,8,8,7.5,6,8,78,Acceleration,45,1139,284.75,478.38,250.58,125.29,26,13,5.72,7.28,34,18,10,6,13.31
45134Michael Jordan,45134,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6.5,7,7,6.5,7.5,4,79,Max Velocity,111,998,299.4,249.5,249.5,199.6,79,31.6,22.12,25.28,85,47,27,12,17.99
45148Roger Federer,45148,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,8,9,3.5,7,6,78,Max Velocity,130,996,298.8,249,249,199.2,63,25.2,17.64,20.16,73,40,23,10,22.51
45131Wayne Gretzky,45131,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6.5,7,7,5.5,6,4,77.5,Acceleration,36,1120,280,470.4,246.4,123.2,32,16,7.04,8.96,30,16,9,5,11.49
45145Serena Williams,45145,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,5,7,6,7.5,6.5,5,78.5,Acceleration,17,1120,280,470.4,246.4,123.2,33,16.5,7.26,9.24,48,25,14,9,19.62
45145Kobe Bryant,45145,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5,7,7,7.5,7.5,5,78.5,Acceleration,32,1110,277.5,466.2,244.2,122.1,46,23,10.12,12.88,31,16,9,6,12.87
45138Roger Federer,45138,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,6,7.5,6,5,5.5,7,80,Acceleration,36,1106,276.5,464.52,243.32,121.66,21,10.5,4.62,5.88,32,17,10,6,10.16
45134Pele,45134,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,6,7,7,3.5,7.5,5,79.5,Max Velocity,81,970,291,242.5,242.5,194,100,40,28,32,86,47,27,12,16.62
45120Wayne Gretzky,45120,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6.5,5,4.5,6,7,6,85,Max Velocity,61,969,290.7,242.25,242.25,193.8,82,32.8,22.96,26.24,73,40,23,10,20.15
45134Kobe Bryant,45134,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6,8,9,6,7,4,75,Max Velocity,93,962,288.6,240.5,240.5,192.4,65,26,18.2,20.8,84,46,26,12,18.95
45124Roger Federer,45124,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,5,6,6,4,5,8,81,Acceleration,42,1090,272.5,457.8,239.8,119.9,20,10,4.4,5.6,33,17,10,6,16.71
45141Pele,45141,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,7,7.5,6,8,8,83.5,Max Velocity,103,953,285.9,238.25,238.25,190.6,74,29.6,20.72,23.68,77,42,24,11,20.51
45127Tom Brady,45127,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6,7,5,5,8.5,4,81.5,Max Velocity,60,950,285,237.5,237.5,190,98,39.2,27.44,31.36,84,46,26,12,21.28
45127Roger Federer,45127,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,8,8,5.5,6.5,8,80.5,Max Velocity,65,945,283.5,236.25,236.25,189,87,34.8,24.36,27.84,73,40,23,10,20.1
45145Jackie Robinson,45145,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6.5,7,7,6.5,7.5,4,79,Acceleration,28,1069,267.25,448.98,235.18,117.59,36,18,7.92,10.08,34,18,10,6,10.59
45141Wayne Gretzky,45141,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,5,7,7,7.5,6.5,8,80.5,Max Velocity,130,938,281.4,234.5,234.5,187.6,61,24.4,17.08,19.52,74,41,23,10,23.93
45117Wayne Gretzky,45117,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,8.5,5,8,4.5,8,6,84.5,Acceleration,44,1064,266,446.88,234.08,117.04,50,25,11,14,31,16,9,6,22.83
45127Wayne Gretzky,45127,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,7,7,3.5,7,4,78,Max Velocity,37,923,276.9,230.75,230.75,184.6,76,30.4,21.28,24.32,87,48,27,12,22.09
45141Tom Brady,45141,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,5,7,6,3.5,8.5,6,81.5,Max Velocity,44,921,276.3,230.25,230.25,184.2,63,25.2,17.64,20.16,85,47,27,12,22
45120Jackie Robinson,45120,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6,8,8,3.5,8,8,81,Max Velocity,85,919,275.7,229.75,229.75,183.8,84,33.6,23.52,26.88,79,43,25,11,14.52
45117Pele,45117,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,5,7,6.5,8,8,86,Acceleration,46,1035,258.75,434.7,227.7,113.85,53,26.5,11.66,14.84,37,19,11,7,19.94
45134Tom Brady,45134,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,6.5,8,8,7.5,4,4,73.5,Max Velocity,86,908,272.4,227,227,181.6,64,25.6,17.92,20.48,81,45,25,11,19.38
45112Roger Federer,45112,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,5.5,8,7,3.5,4.5,7,77,Acceleration,38,1029,257.25,432.18,226.38,113.19,42,21,9.24,11.76,46,24,14,8,15.6
45145Roger Federer,45145,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,5,7,7,7.5,7.5,7,80.5,Acceleration,21,1021,255.25,428.82,224.62,112.31,50,25,11,14,33,17,10,6,14.23
45131Roger Federer,45131,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,5.5,8,8,4,4.5,6,75,Acceleration,36,962,240.5,404.04,211.64,105.82,60,30,13.2,16.8,45,23,14,8,12.92
45145Wayne Gretzky,45145,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,5,8,8,7,6.5,7,77.5,Acceleration,39,957,239.25,401.94,210.54,105.27,32,16,7.04,8.96,30,16,9,5,21.42
